Cantidad_Total,Venta_Total,NumeroDocumento,NombreCliente,Municipio,Departamento,NombreProducto,NitCliente,Fuente,CodVendedor,NombreVendedor,Referencia,FechaDocumento,Presentacion,Clasificacion,Meses de la ultima compra,Vent_positivas,Dev_positivas
-420,-9017400,DEV0000313,Cliente 181,BOGOTA,SANTA FE DE BOGOTA,POLIOL ESTANDAR FLEX,541823663-7,Devoluci¢n,14,Vendedor 5,14397009,27/01/2023,KILOS,QUIMICOS,26,0,9017400
-40,-2811600,DEV0000314,Cliente 37,PAIPA,BOYACA,SILICONA,8224370-0,Devoluci¢n,08,Vendedor 1,14397007,27/01/2023,KILOS,QUIMICOS,26,0,2811600
-630,-17151750,DEV0000315,Cliente 181,BOGOTA,SANTA FE DE BOGOTA,POLIOL POLIMERICO,541823663-7,Devoluci¢n,14,Vendedor 5,14397003,27/01/2023,KILOS,QUIMICOS,26,0,17151750
-750,-29105625,DEV0000315,Cliente 181,BOGOTA,SANTA FE DE BOGOTA,T.D.I. 80/20,541823663-7,Devoluci¢n,14,Vendedor 5,14397004,27/01/2023,KILOS,QUIMICOS,26,0,29105625
-630,-13526100,DEV0000315,Cliente 181,BOGOTA,SANTA FE DE BOGOTA,POLIOL ESTANDAR FLEX,541823663-7,Devoluci¢n,14,Vendedor 5,14397009,27/01/2023,KILOS,QUIMICOS,26,0,13526100
-0.2,-262059,DEV0000316,Cliente 170,PASTO,NARI•O,PAPEL CELOFAN ROJO,45516741-3,Devoluci¢n,08,Vendedor 1,14393002,27/01/2023,UNIDAD,CELOFAN,26,0,262059
-0.2,-262059,DEV0000316,Cliente 170,PASTO,NARI•O,PAPEL CELOFAN AMARILLO,45516741-3,Devoluci¢n,08,Vendedor 1,14393004,27/01/2023,UNIDAD,CELOFAN,26,0,262059
-50,-2118750,DEV0000317,Cliente 65,BELLO,Antioquia,T.D.I. 80/20,703413791-1,Devoluci¢n,17,Vendedor 6,14397004,27/01/2023,KILOS,QUIMICOS,26,0,2118750
-1700,-29465250,DEV0000318,Cliente 172,CALI,VALLE DEL CAUCA,PARAFINA CHINA SR 58-60,651063349-2,Devoluci¢n,17,Vendedor 6,14361006,27/01/2023,KILOS,PARAFINAS,26,0,29465250
-42,-1120560,DEV0000319,Cliente 182,BUCARAMANGA,SANTANDER,POLIOL POLIMERICO,582279026-0,Devoluci¢n,08,Vendedor 1,14397003,28/01/2023,KILOS,QUIMICOS,26,0,1120560
-42,-1141350,DEV0000320,Cliente 183,BOGOTA,SANTA FE DE BOGOTA,POLIOL POLIMERICO,1385759810-0,Devoluci¢n,08,Vendedor 1,14397003,30/01/2023,KILOS,QUIMICOS,26,0,1141350
-100,-3692750,DEV0000320,Cliente 183,BOGOTA,SANTA FE DE BOGOTA,T.D.I. 80/20,1385759810-0,Devoluci¢n,08,Vendedor 1,14397004,30/01/2023,KILOS,QUIMICOS,26,0,3692750
-42,-901740,DEV0000320,Cliente 183,BOGOTA,SANTA FE DE BOGOTA,POLIOL ESTANDAR FLEX,1385759810-0,Devoluci¢n,08,Vendedor 1,14397009,30/01/2023,KILOS,QUIMICOS,26,0,901740
-42,-1141350,DEV0000321,Cliente 184,BOGOTA,SANTA FE DE BOGOTA,POLIOL POLIMERICO,544943585-7,Devoluci¢n,14,Vendedor 5,14397003,30/01/2023,KILOS,QUIMICOS,26,0,1141350
-50,-1856250,DEV0000321,Cliente 184,BOGOTA,SANTA FE DE BOGOTA,T.D.I. 80/20,544943585-7,Devoluci¢n,14,Vendedor 5,14397004,30/01/2023,KILOS,QUIMICOS,26,0,1856250
-42,-923055,DEV0000321,Cliente 184,BOGOTA,SANTA FE DE BOGOTA,POLIOL ESTANDAR FLEX,544943585-7,Devoluci¢n,14,Vendedor 5,14397009,30/01/2023,KILOS,QUIMICOS,26,0,923055
-42,-1090950,DEV0000322,Cliente 65,BELLO,Antioquia,POLIOL ESTANDAR,703413791-1,Devoluci¢n,17,Vendedor 6,14397002,30/01/2023,KILOS,QUIMICOS,26,0,1090950
-2000,-33485000,DEV0000323,Cliente 185,CALARCA,QUINDIO,PARAFINA CHINA SR 58-60,45007101-6,Devoluci¢n,08,Vendedor 1,14361006,30/01/2023,KILOS,PARAFINAS,26,0,33485000
-600,-10147500,DEV0000324,Cliente 66,AGUADAS,CALDAS,PARAFINA CHINA SR 58-60,6434502-0,Devoluci¢n,17,Vendedor 6,14361006,30/01/2023,KILOS,PARAFINAS,26,0,10147500
-2800,-44702000,DEV0000325,Cliente 118,SABANETA,Antioquia,PARAFINA MEDIA,649381080-1,Devoluci¢n,11,Vendedor 4,14361002,31/01/2023,KILOS,PARAFINAS,26,0,44702000
-462,-9919140,DEV0000326,Cliente 19,BOGOTA,SANTA FE DE BOGOTA,POLIOL ESTANDAR FLEX,78546176-7,Devoluci¢n,08,Vendedor 1,14397009,31/01/2023,KILOS,QUIMICOS,26,0,9919140
-200,-3487500,DEV0000327,Cliente 76,Medell°n,Antioquia,PARAFINA CHINA SR 58-60,125448363-0,Devoluci¢n,16,Vendedor 2,14361006,31/01/2023,KILOS,PARAFINAS,26,0,3487500
-800,-9536000,DEV0000328,Cliente 186,ARMENIA - QUINDIO,QUINDIO,PARAFINA LIVIANA,873967515-1,Devoluci¢n,17,Vendedor 6,14361001,28/02/2023,KILOS,PARAFINAS,25,0,9536000
-3400,-55403000,DEV0000329,Cliente 186,ARMENIA - QUINDIO,QUINDIO,PARAFINA LIVIANA,873967515-1,Devoluci¢n,17,Vendedor 6,14361001,03/02/2023,KILOS,PARAFINAS,26,0,55403000
-700,-26162500,DEV0000330,Cliente 32,PASTO,NARI•O,T.D.I. 80/20,410526441-5,Devoluci¢n,08,Vendedor 1,14397004,03/02/2023,KILOS,QUIMICOS,26,0,26162500
-960,-35064000,DEV0000330,Cliente 32,PASTO,NARI•O,MDI,410526441-5,Devoluci¢n,08,Vendedor 1,14397006,03/02/2023,KILOS,QUIMICOS,26,0,35064000
-150,-6393750,DEV0000331,Cliente 171,GUARNE,Antioquia,T.D.I. 80/20,421129589-9,Devoluci¢n,08,Vendedor 1,14397004,15/02/2023,KILOS,QUIMICOS,25,0,6393750
-8,-216800,DEV0000332,Cliente 187,PASTO,NARI•O,CERA DE VASO,8949690638-2,Devoluci¢n,08,Vendedor 1,14394003,15/02/2023,KILOS,CERAS Y ADITIVOS,25,0,216800
-216,-3357180,DEV0000333,Cliente 41,BOGOTA,SANTA FE DE BOGOTA,CLORURO DE METILENO,211174692-2,Devoluci¢n,14,Vendedor 5,14397005,15/02/2023,KILOS,QUIMICOS,25,0,3357180
-1000,-16807500,DEV0000334,Cliente 3,Medell°n,Antioquia,PARAFINA CHINA SR 58-60,375065971-0,Devoluci¢n,17,Vendedor 6,14361006,15/02/2023,KILOS,PARAFINAS,25,0,16807500
-0.8,-476228,DEV0000335,Cliente 188,BOGOTA,SANTA FE DE BOGOTA,COLORANTE A LA GRASA  AZUL,605807236-8,Devoluci¢n,08,Vendedor 1,14377022,15/02/2023,GRAMOS,COLORANTES,25,0,476228
-0.8,-223494,DEV0000335,Cliente 188,BOGOTA,SANTA FE DE BOGOTA,COLORANTE A LA GRASA ROJO,605807236-8,Devoluci¢n,08,Vendedor 1,14377027,15/02/2023,GRAMOS,COLORANTES,25,0,223494
-3600,-51354000,DEV0000336,Cliente 163,GARZ‡N,HUILA,PARAFINA MEDIA,346086242-0,Devoluci¢n,11,Vendedor 4,14361002,22/02/2023,KILOS,PARAFINAS,25,0,51354000
-600,-22500000,DEV0000337,Cliente 189,ITAGUI,Antioquia,T.D.I. 80/20,530109406-5,Devoluci¢n,17,Vendedor 6,14397004,23/02/2023,KILOS,QUIMICOS,25,0,22500000
-8,-216800,DEV0000338,Cliente 190,Medell°n,Antioquia,CERA DE VASO,350232627-3,Devoluci¢n,08,Vendedor 1,14394003,23/02/2023,KILOS,CERAS Y ADITIVOS,25,0,216800
-26.2,-710020,DEV0000339,Cliente 191,BOGOTA,SANTA FE DE BOGOTA,CERA DE VASO,736459805-6,Devoluci¢n,14,Vendedor 5,14394003,28/02/2023,KILOS,CERAS Y ADITIVOS,25,0,710020
-168,-3866940,DEV0000340,Cliente 110,CUCUTA,NORTE DE SANTANDER,POLIOL ESTANDAR,1672626698-1,Devoluci¢n,08,Vendedor 1,14397002,07/03/2023,KILOS,QUIMICOS,25,0,3866940
-100,-3737500,DEV0000340,Cliente 110,CUCUTA,NORTE DE SANTANDER,T.D.I. 80/20,1672626698-1,Devoluci¢n,08,Vendedor 1,14397004,07/03/2023,KILOS,QUIMICOS,25,0,3737500
-50,-1872375,DEV0000341,Cliente 192,VILLA DEL ROSARIO,NORTE DE SANTANDER,T.D.I. 80/20,7584009777-8,Devoluci¢n,08,Vendedor 1,14397004,07/03/2023,KILOS,QUIMICOS,25,0,1872375
-54,-839295,DEV0000341,Cliente 192,VILLA DEL ROSARIO,NORTE DE SANTANDER,CLORURO DE METILENO,7584009777-8,Devoluci¢n,08,Vendedor 1,14397005,07/03/2023,KILOS,QUIMICOS,25,0,839295
-12,-337830,DEV0000342,Cliente 193,BOGOTA,SANTA FE DE BOGOTA,CERA DE VASO,4972989931-3,Devoluci¢n,14,Vendedor 5,14394003,07/03/2023,KILOS,CERAS Y ADITIVOS,25,0,337830
-300,-8407500,DEV0000343,Cliente 171,GUARNE,Antioquia,POLIOL POLIMERICO,421129589-9,Devoluci¢n,08,Vendedor 1,14397003,07/03/2023,KILOS,QUIMICOS,25,0,8407500
-5,-83087.5,DEV0000344,Cliente 194,CALI,VALLE DEL CAUCA,PARAFINA MEDIA,51407208-5,Devoluci¢n,08,Vendedor 1,14361002,10/03/2023,KILOS,PARAFINAS,25,0,83087.5
-300,-11029500,DEV0000345,Cliente 195,Medell°n,Antioquia,CERA MICROCRISTALINA BRASILERA,534806629-2,Devoluci¢n,16,Vendedor 2,14394001,13/03/2023,KILOS,CERAS Y ADITIVOS,24,0,11029500
-126,-3531150,DEV0000346,Cliente 171,GUARNE,Antioquia,POLIOL POLIMERICO,421129589-9,Devoluci¢n,08,Vendedor 1,14397003,21/03/2023,KILOS,QUIMICOS,24,0,3531150
-840,-18585000,DEV0000347,Cliente 196,BOGOTA,SANTA FE DE BOGOTA,POLIOL ESTANDAR,47768879-4,Devoluci¢n,08,Vendedor 1,14397002,28/03/2023,KILOS,QUIMICOS,24,0,18585000
-2520,-62370000,DEV0000347,Cliente 196,BOGOTA,SANTA FE DE BOGOTA,POLIOL POLIMERICO,47768879-4,Devoluci¢n,08,Vendedor 1,14397003,28/03/2023,KILOS,QUIMICOS,24,0,62370000
-1400,-19883500,DEV0000348,Cliente 197,SABANETA,Antioquia,PARAFINA LIVIANA,546017403-5,Devoluci¢n,17,Vendedor 6,14361001,28/03/2023,KILOS,PARAFINAS,24,0,19883500
-600,-8445000,DEV0000349,Cliente 111,BARRANCABERMEJA,SANTANDER,PARAFINA MEDIA,46767875-4,Devoluci¢n,11,Vendedor 4,14361002,31/03/2023,KILOS,PARAFINAS,24,0,8445000
-252,-6024690,DEV0000350,Cliente 102,CALI,VALLE DEL CAUCA,POLIOL POLIMERICO,424089871-0,Devoluci¢n,17,Vendedor 6,14397003,31/03/2023,KILOS,QUIMICOS,24,0,6024690
-3400,-53218500,DEV0000351,Cliente 163,GARZ‡N,HUILA,PARAFINA CHINA SR 58-60,346086242-0,Devoluci¢n,11,Vendedor 4,14361006,31/03/2023,KILOS,PARAFINAS,24,0,53218500
-20,-338250,DEV0000352,Cliente 198,LA CALERA,CUNDINAMARCA,PARAFINA FR 56/58 EN SACO,72595788-7,Devoluci¢n,14,Vendedor 5,14391003,28/04/2023,KILOS,PARAFINAS,23,0,338250
-20,-357150,DEV0000353,Cliente 72,Medell°n,Antioquia,PARAFINA SR 58/60,709718353-5,Devoluci¢n,16,Vendedor 2,14391002,28/04/2023,KILOS,PARAFINAS,23,0,357150
-5,-79100,DEV0000354,Cliente 198,LA CALERA,CUNDINAMARCA,PARAFINA LIVIANA,72595788-7,Devoluci¢n,14,Vendedor 5,14361001,15/04/2023,KILOS,PARAFINAS,23,0,79100
-1200,-19542000,DEV0000355,Cliente 22,IBAGUE,TOLIMA,PARAFINA CHINA SR 58-60,43531527-6,Devoluci¢n,08,Vendedor 1,14361006,15/04/2023,KILOS,PARAFINAS,23,0,19542000
-5,-1222037.5,DEV0000356,Cliente 199,BOGOTA,SANTA FE DE BOGOTA,ESTA•O,883665176-5,Devoluci¢n,08,Vendedor 1,14397010,15/04/2023,KILOS,QUIMICOS,23,0,1222037.5
-200,-3475000,DEV0000357,Cliente 200,ACEVEDO,HUILA,PARAFINA CHINA SR 58-60,5725474932-9,Devoluci¢n,08,Vendedor 1,14361006,17/04/2023,KILOS,PARAFINAS,23,0,3475000
-8,-308800,DEV0000358,Cliente 201,BARRANQUILLA,ATLANTICO,CERA MICROCRISTALINA BRASILERA,190444230-7,Devoluci¢n,17,Vendedor 6,14394001,20/04/2023,KILOS,CERAS Y ADITIVOS,23,0,308800
-400,-212220,DEV0000359,Cliente 202,MANIZALES,CALDAS,COLORANTE A LA GRASA VERDE,764865939-0,Devoluci¢n,17,Vendedor 6,14377023,21/04/2023,GRAMOS,COLORANTES,23,0,212220
-1.4,-37940,DEV0000360,Cliente 179,BOGOTA,SANTA FE DE BOGOTA,CERA DE VASO,131252203-1,Devoluci¢n,08,Vendedor 1,14394003,24/04/2023,KILOS,CERAS Y ADITIVOS,23,0,37940
-60,-1048200,DEV0000361,Cliente 203,Medell°n,Antioquia,PARAFINA CHINA SR 58-60,222436160-7,Devoluci¢n,17,Vendedor 6,14361006,24/04/2023,KILOS,PARAFINAS,23,0,1048200
-378,-4235490,DEV0000362,Cliente 27,BOGOTA,SANTA FE DE BOGOTA,T.D.I. 80/20,123093251-5,Devoluci¢n,08,Vendedor 1,14397004,30/05/2023,KILOS,QUIMICOS,22,0,4235490
-10,-1960075,DEV0000363,Cliente 204,Medell°n,Antioquia,VIBAR,696675643-9,Devoluci¢n,16,Vendedor 2,14394004,05/05/2023,KILOS,CERAS Y ADITIVOS,23,0,1960075
-600,-10296000,DEV0000364,Cliente 177,PEREIRA,RISARALDA,PARAFINA CHINA SR 58-60,50665498-1,Devoluci¢n,17,Vendedor 6,14361006,12/05/2023,KILOS,PARAFINAS,22,0,10296000
-600,-1447500,DEV0000365,Cliente 205,BOGOTA,SANTA FE DE BOGOTA,PAPEL CELOFAN CRISTAL,4619444-2,Devoluci¢n,08,Vendedor 1,14393001,12/05/2023,UNIDAD,CELOFAN,22,0,1447500
-400,-965000,DEV0000365,Cliente 205,BOGOTA,SANTA FE DE BOGOTA,PAPEL CELOFAN ROJO,4619444-2,Devoluci¢n,08,Vendedor 1,14393002,12/05/2023,UNIDAD,CELOFAN,22,0,965000
-200,-482500,DEV0000365,Cliente 205,BOGOTA,SANTA FE DE BOGOTA,PAPEL CELOFAN VERDE,4619444-2,Devoluci¢n,08,Vendedor 1,14393003,12/05/2023,UNIDAD,CELOFAN,22,0,482500
-200,-482500,DEV0000365,Cliente 205,BOGOTA,SANTA FE DE BOGOTA,PAPEL CELOFAN ROSADO,4619444-2,Devoluci¢n,08,Vendedor 1,14393006,12/05/2023,UNIDAD,CELOFAN,22,0,482500
-400,-965000,DEV0000365,Cliente 205,BOGOTA,SANTA FE DE BOGOTA,PAPEL CELOFAN NARANJA,4619444-2,Devoluci¢n,08,Vendedor 1,14393007,12/05/2023,UNIDAD,CELOFAN,22,0,965000
-400,-965000,DEV0000365,Cliente 205,BOGOTA,SANTA FE DE BOGOTA,PAPEL CELOFAN MORADO,4619444-2,Devoluci¢n,08,Vendedor 1,14393008,12/05/2023,UNIDAD,CELOFAN,22,0,965000
-25,-390625,DEV0000366,Cliente 105,PASTO,NARI•O,PARAFINA LIVIANA,59881546-7,Devoluci¢n,08,Vendedor 1,14361001,12/05/2023,KILOS,PARAFINAS,22,0,390625
-252,-5550930,DEV0000367,Cliente 37,PAIPA,BOYACA,POLIOL ESTANDAR,8224370-0,Devoluci¢n,08,Vendedor 1,14397002,16/05/2023,KILOS,QUIMICOS,22,0,5550930
-252,-6056190,DEV0000367,Cliente 37,PAIPA,BOYACA,POLIOL POLIMERICO,8224370-0,Devoluci¢n,08,Vendedor 1,14397003,16/05/2023,KILOS,QUIMICOS,22,0,6056190
-300,-10892250,DEV0000367,Cliente 37,PAIPA,BOYACA,T.D.I. 80/20,8224370-0,Devoluci¢n,08,Vendedor 1,14397004,16/05/2023,KILOS,QUIMICOS,22,0,10892250
-84,-5904360,DEV0000367,Cliente 37,PAIPA,BOYACA,SILICONA,8224370-0,Devoluci¢n,08,Vendedor 1,14397007,16/05/2023,KILOS,QUIMICOS,22,0,5904360
-10,-159675,DEV0000368,Cliente 22,IBAGUE,TOLIMA,PARAFINA CHINA SR 58-60,43531527-6,Devoluci¢n,08,Vendedor 1,14361006,17/05/2023,KILOS,PARAFINAS,22,0,159675
-10,-688050,DEV0000369,Cliente 184,BOGOTA,SANTA FE DE BOGOTA,SILICONA,544943585-7,Devoluci¢n,14,Vendedor 5,14397007,17/05/2023,KILOS,QUIMICOS,22,0,688050
-42,-787920,DEV0000370,Cliente 206,BOGOTA,SANTA FE DE BOGOTA,POLIOL ESTANDAR,21928704-6,Devoluci¢n,14,Vendedor 5,14397002,20/05/2023,KILOS,QUIMICOS,22,0,787920
-50,-2081500,DEV0000370,Cliente 206,BOGOTA,SANTA FE DE BOGOTA,T.D.I. 80/20,21928704-6,Devoluci¢n,14,Vendedor 5,14397004,20/05/2023,KILOS,QUIMICOS,22,0,2081500
-200,-3161500,DEV0000371,Cliente 160,BOGOTA,SANTA FE DE BOGOTA,PARAFINA CHINA SR 58-60,372970751-7,Devoluci¢n,08,Vendedor 1,14361006,25/05/2023,KILOS,PARAFINAS,22,0,3161500
-400,-6656000,DEV0000372,Cliente 207,CARTAGO - VALLE,VALLE DEL CAUCA,PARAFINA LIVIANA,6288518792-1,Devoluci¢n,17,Vendedor 6,14361001,29/05/2023,KILOS,PARAFINAS,22,0,6656000
-600,-9796500,DEV0000373,Cliente 208,PASTO,NARI•O,PARAFINA SR 58/60,80787212-4,Devoluci¢n,08,Vendedor 1,14391002,29/05/2023,KILOS,PARAFINAS,22,0,9796500
-168,-3183600,DEV0000374,Cliente 209,PEREIRA,RISARALDA,POLIOL ESTANDAR,59933543-0,Devoluci¢n,17,Vendedor 6,14397002,30/05/2023,KILOS,QUIMICOS,22,0,3183600
-84,-2179800,DEV0000374,Cliente 209,PEREIRA,RISARALDA,POLIOL POLIMERICO,59933543-0,Devoluci¢n,17,Vendedor 6,14397003,30/05/2023,KILOS,QUIMICOS,22,0,2179800
-100,-3700000,DEV0000374,Cliente 209,PEREIRA,RISARALDA,T.D.I. 80/20,59933543-0,Devoluci¢n,17,Vendedor 6,14397004,30/05/2023,KILOS,QUIMICOS,22,0,3700000
-400,-6323000,DEV0000375,Cliente 130,RIONEGRO,Antioquia,PARAFINA SR 58/60,27164662-5,Devoluci¢n,17,Vendedor 6,14391002,30/05/2023,KILOS,PARAFINAS,22,0,6323000
-162,-1695330,DEV0000376,Cliente 210,BOGOTA,SANTA FE DE BOGOTA,CLORURO DE METILENO,462354462-2,Devoluci¢n,08,Vendedor 1,14397005,31/05/2023,KILOS,QUIMICOS,22,0,1695330
-4,-107740,DEV0000377,Cliente 211,DOSQUEBRADAS,RISARALDA,CERA DE VASO,6143014479-2,Devoluci¢n,17,Vendedor 6,14394003,13/06/2023,KILOS,CERAS Y ADITIVOS,21,0,107740
-6,-306300,DEV0000378,Cliente 142,RIONEGRO,Antioquia,CERA MICROCRISTALINA ESPA•OLA,853143348-2,Devoluci¢n,17,Vendedor 6,14394002,15/06/2023,KILOS,CERAS Y ADITIVOS,21,0,306300
-100,-253750,DEV0000379,Cliente 212,VILLAVICENCIO,META,PAPEL CELOFAN CRISTAL,26430002-1,Devoluci¢n,08,Vendedor 1,14393001,16/06/2023,UNIDAD,CELOFAN,21,0,253750
-200,-6500000,DEV0000380,Cliente 83,CALI,VALLE DEL CAUCA,MDI,236937678-8,Devoluci¢n,17,Vendedor 6,14397006,23/06/2023,KILOS,QUIMICOS,21,0,6500000
-2000,-300400,DEV0000381,Cliente 213,Medell°n,Antioquia,COLORANTE FLUORESCENTE NARANJA,17253256-6,Devoluci¢n,16,Vendedor 2,14377017,28/06/2023,GRAMOS,COLORANTES,21,0,300400
-200,-3161500,DEV0000382,Cliente 98,BOGOTA,SANTA FE DE BOGOTA,PARAFINA CHINA SR 58-60,683174148-2,Devoluci¢n,14,Vendedor 5,14361006,29/06/2023,KILOS,PARAFINAS,21,0,3161500
-108,-936090,DEV0000383,Cliente 214,BUCARAMANGA,SANTANDER,CLORURO DE METILENO,262818119-3,Devoluci¢n,08,Vendedor 1,14397005,31/07/2023,KILOS,QUIMICOS,20,0,936090
-15,-258562.5,DEV0000384,Cliente 215,PUEBLORRICO,Antioquia,PARAFINA LIVIANA,661187-7,Devoluci¢n,16,Vendedor 2,14361001,03/08/2023,KILOS,PARAFINAS,20,0,258562.5
-3000,-41160000,DEV0000385,Cliente 216,BARRANCABERMEJA,SANTANDER,PARAFINA MEDIA,265259493-7,Devoluci¢n,08,Vendedor 1,14361002,15/08/2023,KILOS,PARAFINAS,19,0,41160000
-16,-433600,DEV0000386,Cliente 217,ARMENIA - QUINDIO,QUINDIO,CERA DE VASO,255404372-0,Devoluci¢n,17,Vendedor 6,14394003,31/08/2023,KILOS,CERAS Y ADITIVOS,19,0,433600
-50,-1434250,DEV0000387,Cliente 192,VILLA DEL ROSARIO,NORTE DE SANTANDER,T.D.I. 80/20,7584009777-8,Devoluci¢n,08,Vendedor 1,14397004,29/08/2023,KILOS,QUIMICOS,19,0,1434250
-600,-1386000,DEV0000388,Cliente 152,GALAPA,ATLANTICO,PAPEL CELOFAN ROJO,541726630-0,Devoluci¢n,17,Vendedor 6,14393002,31/08/2023,UNIDAD,CELOFAN,19,0,1386000
-1400,-3234000,DEV0000388,Cliente 152,GALAPA,ATLANTICO,PAPEL CELOFAN VERDE,541726630-0,Devoluci¢n,17,Vendedor 6,14393003,31/08/2023,UNIDAD,CELOFAN,19,0,3234000
-800,-1848000,DEV0000388,Cliente 152,GALAPA,ATLANTICO,PAPEL CELOFAN AMARILLO,541726630-0,Devoluci¢n,17,Vendedor 6,14393004,31/08/2023,UNIDAD,CELOFAN,19,0,1848000
-2200,-5082000,DEV0000388,Cliente 152,GALAPA,ATLANTICO,PAPEL CELOFAN AZUL,541726630-0,Devoluci¢n,17,Vendedor 6,14393005,31/08/2023,UNIDAD,CELOFAN,19,0,5082000
-50,-1700000,DEV0000389,Cliente 99,BOGOTA,SANTA FE DE BOGOTA,MDI,146992679-6,Devoluci¢n,08,Vendedor 1,14397006,05/09/2023,KILOS,QUIMICOS,19,0,1700000
-20,-329850,DEV0000390,Cliente 218,Medell°n,Antioquia,PARAFINA LIVIANA,899608190-1,Devoluci¢n,16,Vendedor 2,14361001,05/09/2023,KILOS,PARAFINAS,19,0,329850
-20,-308800,DEV0000390,Cliente 218,Medell°n,Antioquia,PARAFINA CHINA SR 58-60,899608190-1,Devoluci¢n,16,Vendedor 2,14361006,05/09/2023,KILOS,PARAFINAS,19,0,308800
-5,-89287.5,DEV0000390,Cliente 218,Medell°n,Antioquia,ACIDO ESTEARICO,899608190-1,Devoluci¢n,16,Vendedor 2,14392001,05/09/2023,KILOS,CERAS Y ADITIVOS,19,0,89287.5
-1680,-22957200,DEV0000391,Cliente 219,PASTO,NARI•O,PARAFINA SR 56/58 SACO,4621246344-2,Devoluci¢n,08,Vendedor 1,14391008,11/09/2023,KILOS,PARAFINAS,18,0,22957200
-60,-845700,DEV0000392,Cliente 220,BARRANQUILLA,ATLANTICO,PARAFINA MEDIA,268527382-5,Devoluci¢n,17,Vendedor 6,14361002,14/09/2023,KILOS,PARAFINAS,18,0,845700
-126,-2276505,DEV0000393,Cliente 221,BELLO,Antioquia,POLIOL ESTANDAR,216850567-6,Devoluci¢n,17,Vendedor 6,14397002,22/09/2023,KILOS,QUIMICOS,18,0,2276505
-84,-1906380,DEV0000393,Cliente 221,BELLO,Antioquia,POLIOL POLIMERICO,216850567-6,Devoluci¢n,17,Vendedor 6,14397003,22/09/2023,KILOS,QUIMICOS,18,0,1906380
-100,-2893250,DEV0000393,Cliente 221,BELLO,Antioquia,T.D.I. 80/20,216850567-6,Devoluci¢n,17,Vendedor 6,14397004,22/09/2023,KILOS,QUIMICOS,18,0,2893250
-5,-969512.5,DEV0000394,Cliente 22,IBAGUE,TOLIMA,VIBAR,43531527-6,Devoluci¢n,08,Vendedor 1,14394004,22/09/2023,KILOS,CERAS Y ADITIVOS,18,0,969512.5
-1000,-158450,DEV0000395,Cliente 172,CALI,VALLE DEL CAUCA,COLORANTE FLUORESCENTE AMARILLO,651063349-2,Devoluci¢n,17,Vendedor 6,14377013,22/09/2023,GRAMOS,COLORANTES,18,0,158450
-1000,-160275,DEV0000395,Cliente 172,CALI,VALLE DEL CAUCA,COLORANTE FLUORESCENTE VERDE,651063349-2,Devoluci¢n,17,Vendedor 6,14377016,22/09/2023,GRAMOS,COLORANTES,18,0,160275
-1000,-150200,DEV0000395,Cliente 172,CALI,VALLE DEL CAUCA,COLORANTE FLUORESCENTE NARANJA,651063349-2,Devoluci¢n,17,Vendedor 6,14377017,22/09/2023,GRAMOS,COLORANTES,18,0,150200
-1000,-133600,DEV0000395,Cliente 172,CALI,VALLE DEL CAUCA,COLORANTE FLUORESCENTE MAGENTA,651063349-2,Devoluci¢n,17,Vendedor 6,14377018,22/09/2023,GRAMOS,COLORANTES,18,0,133600
-294,-18742500,DEV0000396,Cliente 143,GIRON,SANTANDER,SILICONA,85442589-0,Devoluci¢n,08,Vendedor 1,14397007,22/09/2023,KILOS,QUIMICOS,18,0,18742500
-4,-163030,DEV0000397,Cliente 80,ENVIGADO,Antioquia,CERA BRASILERA N,746809218-1,Devoluci¢n,16,Vendedor 2,143703,22/09/2023,KILOS,CERAS Y ADITIVOS,18,0,163030
-5,-89812.5,DEV0000398,Cliente 222,PEREIRA,RISARALDA,ACIDO ESTEARICO,55706706-0,Devoluci¢n,17,Vendedor 6,14392001,25/09/2023,KILOS,CERAS Y ADITIVOS,18,0,89812.5
-600,-8236500,DEV0000399,Cliente 220,BARRANQUILLA,ATLANTICO,PARAFINA LIVIANA,268527382-5,Devoluci¢n,17,Vendedor 6,14361001,28/09/2023,KILOS,PARAFINAS,18,0,8236500
-200,-2867000,DEV0000400,Cliente 223,Medell°n,Antioquia,PARAFINA MEDIA,2011904108-6,Devoluci¢n,17,Vendedor 6,14361002,09/10/2023,KILOS,PARAFINAS,17,0,2867000
-500,-8076250,DEV0000401,Cliente 175,MANIZALES,CALDAS,PARAFINA LIVIANA,2436122-9,Devoluci¢n,17,Vendedor 6,14361001,09/10/2023,KILOS,PARAFINAS,17,0,8076250
-500,-8076250,DEV0000402,Cliente 224,MANIZALES,CALDAS,PARAFINA LIVIANA,18726348-5,Devoluci¢n,17,Vendedor 6,14361001,09/10/2023,KILOS,PARAFINAS,17,0,8076250
-200,-5740000,DEV0000403,Cliente 221,BELLO,Antioquia,T.D.I. 80/20,216850567-6,Devoluci¢n,17,Vendedor 6,14397004,09/10/2023,KILOS,QUIMICOS,17,0,5740000
-5,-979312.5,DEV0000404,Cliente 22,IBAGUE,TOLIMA,VIBAR,43531527-6,Devoluci¢n,08,Vendedor 1,14394004,09/10/2023,KILOS,CERAS Y ADITIVOS,17,0,979312.5
-0.2,-262059,DEV0000405,Cliente 170,PASTO,NARI•O,PAPEL CELOFAN ROJO,45516741-3,Devoluci¢n,08,Vendedor 1,14393002,13/10/2023,UNIDAD,CELOFAN,17,0,262059
